ds home task
"November 1, 2020 - January 31, 2021"
Week,Campaign,Campaign ID,Currency,Clicks,Impressions,CTR,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate,Search Impr. share,Search Lost IS (budget),Search Lost IS (rank)
"Week of Nov 30, 2020",US -  Keto #QA V2,11718468411,USD,392,"5,907",6.64%,1.66,651.25,47.10%,87.34%,2.70,0,241.20,0.69%,<10%,0.00%,>90%
"Week of Nov 30, 2020",Discovery - IMA1 - Global #QA V1 RG תקין,11720464973,USD,0,626,0.00%,0.00,0.00,0.00%,0.00%,0.00,0,0.00,0.00%, --, --, --
"Week of Nov 30, 2020",Discovery - IMA2 - Global #QA V1 RG תקין,11720583305,USD,48,"8,323",0.58%,0.06,2.83,0.00%,0.00%,0.00,0,0.00,0.00%, --, --, --
"Week of Nov 30, 2020",Discovery - Black Friday - Global #QA V1 BF,11722670350,USD,0,182,0.00%,0.00,0.00,0.00%,0.00%,0.00,0,0.00,0.00%, --, --, --
"Week of Nov 30, 2020",Shopping – Smart US1 #QA V1 RG,11755254686,USD,0,179,0.00%,0.00,0.00,0.00%,0.00%,0.00,0,0.00,0.00%,58.36%,0.00%,41.64%
"Week of Dec 7, 2020",Global - Branded #QA,10419629499,USD,"4,665","31,759",14.69%,0.25,"1,173.34",70.65%,91.89%,315.90,0,3.71,6.77%,27.78%,0.00%,72.22%
"Week of Dec 7, 2020",USA - Best diet plan #QA V1,11756545424,USD,26,437,5.95%,1.23,31.91,16.93%,80.32%,0.00,0,0.00,0.00%,<10%,0.00%,>90%
"Week of Dec 7, 2020",NA - Nutrition plan #QA V1 Desktop,11756681216,USD,35,531,6.59%,1.30,45.41,20.58%,64.04%,3.00,0,15.14,8.57%,10.19%,0.00%,89.81%
"Week of Dec 7, 2020",USA - Intermittent fasting plan #QA V1,11759232145,USD,838,"5,113",16.39%,1.35,"1,127.45",59.61%,95.55%,1.00,0,"1,127.45",0.12%,15.32%,0.00%,84.68%
"Week of Dec 7, 2020",GM - REM - NA #QA,11802827982,USD,"1,346","104,067",1.29%,0.16,209.84,0.00%,0.00%,0.00,1,0.00,0.00%, --, --, --
"Week of Dec 7, 2020",Discovery - IMA1 - Global #QA V1 RG תקין,11720464973,USD,0,4,0.00%,0.00,0.00,0.00%,0.00%,0.00,0,0.00,0.00%, --, --, --
"Week of Dec 14, 2020",Discovery - IMA1 - Global #QA V1 RG תקין,11720464973,USD,0,1,0.00%,0.00,0.00,0.00%,0.00%,0.00,0,0.00,0.00%, --, --, --
"Week of Dec 14, 2020",Discovery - IMA2 - Global #QA V1 RG תקין,11720583305,USD,46,"17,485",0.26%,0.48,21.88,0.00%,0.00%,0.00,0,0.00,0.00%, --, --, --
"Week of Dec 14, 2020",NA - Nutrition plan #QA V1 Desktop,11756681216,USD,131,"2,185",6.00%,2.44,320.29,29.22%,70.83%,0.00,0,0.00,0.00%,34.03%,0.00%,65.97%
"Week of Dec 14, 2020",Cyclist.co.uk-Daniel,11816386470,USD,58,"44,792",0.13%,0.59,34.15,0.00%,0.00%,0.00,0,0.00,0.00%, --, --, --
"Week of Dec 14, 2020",Gmail - REM2 - GLOBAL #QA V1,11853876871,USD,"3,809","8,319",45.79%,0.07,284.67,0.00%,0.00%,0.00,0,0.00,0.00%, --, --, --
"Week of Dec 14, 2020",GM - REM - GLOBAL2 - ACTIVE #QA,11851997201,USD,"4,695","190,073",2.47%,0.12,550.71,0.00%,0.00%,0.00,0,0.00,0.00%, --, --, --
"Week of Dec 14, 2020",GM - REM1 - GLOBAL2 #QA V1,11873141240,USD,"7,039","392,918",1.79%,0.09,602.46,0.00%,0.00%,0.00,2,0.00,0.00%, --, --, --
"Week of Dec 21, 2020",NA - Nutrition plan #QA V1 Desktop,11756681216,USD,102,"2,498",4.08%,2.48,252.87,24.20%,64.96%,0.00,0,0.00,0.00%,38.21%,0.00%,61.79%
"Week of Dec 28, 2020",US - Metabolism-Tracking #QA V1 Desktop,10195325419,USD,"1,500","20,818",7.21%,1.43,"2,143.66",42.04%,82.86%,17.90,0,119.76,1.19%,23.85%,0.00%,76.15%
"Week of Dec 28, 2020",Global - Branded #QA,10419629499,USD,"4,336","27,756",15.62%,0.28,"1,226.83",70.39%,88.97%,307.12,0,3.99,7.08%,29.82%,2.63%,67.55%
"Week of Dec 28, 2020",Discovery - REM - Global #QA V1 RG2 תקין,11604736493,USD,"1,266","165,876",0.76%,0.31,392.89,0.00%,0.00%,8.00,40,49.11,0.59%, --, --, --
"Week of Dec 28, 2020",Global -  Keto #QA V1 #,11846463980,USD,394,"6,220",6.33%,0.79,310.68,80.92%,98.59%,0.00,0,0.00,0.00%,54.34%,0.00%,45.66%
"Week of Dec 28, 2020",NA - Nutrition plan #QA V1 Desktop,11756681216,USD,48,"1,163",4.13%,2.39,114.58,19.55%,69.03%,0.00,0,0.00,0.00%,29.07%,0.00%,70.93%
"Week of Jan 4, 2021",Discovery - REM - Global #QA V1 RG1,11508644810,USD,"1,710","198,593",0.86%,0.53,914.37,0.00%,0.00%,6.00,167,152.40,0.21%, --, --, --
"Week of Jan 4, 2021",Global -  Keto #QA V1 #,11846463980,USD,400,"9,615",4.16%,2.82,"1,129.62",59.05%,87.40%,1.00,0,"1,129.62",0.25%,<10%,0.00%,>90%
"Week of Jan 4, 2021",NA-Metabolism-SKG #QA TCPA תקין,10213647256,USD,365,"12,607",2.90%,4.80,"1,753.54",60.82%,76.75%,2.00,0,876.77,0.55%,13.67%,41.19%,45.14%
"Week of Jan 4, 2021",GM - ML2 - KW1 #QA V1 Desktop,12016334116,USD,"3,542","3,545,815",0.10%,0.77,"2,709.72",0.00%,0.00%,15.00,7,180.65,0.42%, --, --, --
"Week of Jan 11, 2021",US - Metabolism-Tracking #QA V1 Desktop,10195325419,USD,930,"18,301",5.08%,4.81,"4,469.34",62.16%,85.20%,9.93,0,450.24,1.07%,28.86%,0.00%,71.14%
"Week of Jan 11, 2021",Discovery - REM - Global #QA V1 RG1,11508644810,USD,"1,688","140,584",1.20%,0.38,639.50,0.00%,0.00%,9.00,85,71.06,0.34%, --, --, --
"Week of Jan 11, 2021",NA-Metabolism-Tracking #QA V2,12041916627,USD,68,"1,469",4.63%,3.42,232.77,59.48%,82.89%,0.00,0,0.00,0.00%,22.25%,0.00%,77.75%
"Week of Jan 11, 2021",CA - Metabolism-Tracking #QA V1,12048483077,USD,135,"2,251",6.00%,2.35,317.64,75.25%,88.37%,0.00,0,0.00,0.00%,32.13%,0.00%,67.87%
"Week of Jan 11, 2021",USA - Best diet plan #QA V2,12048827933,USD,4,279,1.43%,6.00,23.99,3.60%,38.49%,0.00,0,0.00,0.00%,<10%,0.00%,>90%
"Week of Jan 11, 2021",Smart Global 1 #QA VN1 WL **,12049747859,USD,885,"807,657",0.11%,1.16,"1,024.19",0.00%,0.00%,11.00,36,93.11,1.24%, --, --, --
"Week of Jan 18, 2021",USA - Weight Loss General #QA V2,12048854391,USD,86,"3,331",2.58%,3.73,321.11,9.80%,58.93%,0.00,0,0.00,0.00%,<10%,0.00%,>90%
"Week of Jan 18, 2021",Shopping – Smart GLOBAL1 #QA V1 NOT ACTIVE,12104972762,USD,204,"36,450",0.56%,1.73,353.38,0.00%,0.00%,0.00,0,0.00,0.00%,88.95%,0.00%,11.05%
"Week of Jan 25, 2021",US - Metabolism-Tracking #QA CPA V2 Mobile & Tablets,11408047373,USD,379,"9,016",4.20%,4.45,"1,686.93",48.92%,75.76%,7.50,0,224.92,1.98%,16.31%,0.61%,83.07%
"Week of Jan 25, 2021",Discovery - REM - Global #QA V1 RG1,11508644810,USD,"1,937","161,122",1.20%,0.52,"1,015.08",0.00%,0.00%,3.00,70,338.36,0.07%, --, --, --
"Week of Jan 25, 2021",USA - Best diet plan #QA V2,12048827933,USD,17,665,2.56%,3.52,59.89,4.66%,38.20%,0.00,0,0.00,0.00%,<10%,0.00%,>90%
